abs_path,true_label,pred_label,plane,prob_0,prob_1,prob_2,prob_3,max_prob,correct,has_mask,dice,iou,sensitivity,specificity,precision_seg,hd95,gt_area,pred_area,fn_mask
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00561_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021241495,0.021790449,0.022002278,0.9349657,0.9349657297134399,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00562_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020755816,0.021383986,0.021991115,0.93586904,0.935869038105011,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00563_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020879077,0.021335311,0.02124818,0.93653744,0.9365374445915222,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00564_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021715738,0.02178962,0.021812428,0.9346822,0.9346821904182434,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00565_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021687912,0.021062702,0.021174343,0.936075,0.93607497215271,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00566_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.022644706,0.022034368,0.022144612,0.9331763,0.9331762790679932,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00567_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021753468,0.021630395,0.021662898,0.9349532,0.9349532127380371,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00568_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021720922,0.021386286,0.02151058,0.93538225,0.9353822469711304,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00569_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021062404,0.020750115,0.020706961,0.93748045,0.9374804496765137,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00570_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.02091521,0.020728756,0.020678561,0.93767744,0.9376774430274963,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00571_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.02078925,0.02063945,0.020706898,0.93786436,0.937864363193512,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00572_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021153642,0.021114625,0.021151483,0.9365802,0.9365801811218262,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
